pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse
"TOI-5108 b","TOI-5108",1,1,"Transit",2025,6.75358100000,6.60000000,32.00000000
"WASP-84 b","WASP-84",1,2,"Transit",2014,8.52349648000,10.72000000,220.00000000
"K2-371 b","K2-371",1,1,"Transit",2022,3.11490500000,13.02400000,
"Kepler-1513 c","Kepler-1513",1,2,"Transit Timing Variations",2023,841.40000000000,11.00000000,84.54235626
"NY Vir c","NY Vir",2,2,"Eclipse Timing Variations",2019,8799.00000000000,12.80000000,1760.77820000
"TOI-6628 b","TOI-6628",1,1,"Transit",2025,18.18424000000,10.98480109,235.19302118
"Kepler-975 b","Kepler-975",1,2,"Transit",2016,1.97034245700,1.48000000,2.79000000
"HD 143811 AB b","HD 143811 A",2,1,"Imaging",2025,117000.00000000000,15.69257298,1938.75328270
"TOI-238 c","TOI-238",1,2,"Radial Velocity",2024,8.46565100000,2.18000000,6.70000000
"HATS-54 b","HATS-54",1,1,"Transit",2019,2.54417650000,11.37711541,239.32479047
"TIC 279401253 c","TIC 279401253",1,2,"Transit",2023,155.30000000000,12.60000000,2548.98382414
"TOI-5340 b","TOI-5340",1,1,"Transit",2025,4.93943920000,15.07607904,270.15414595
"TOI-5799 c","TOI-5799",1,2,"Transit",2025,14.01044900000,1.76000000,3.75000000
"Kepler-318 c","Kepler-318",1,2,"Transit",2014,11.81500700000,3.68000000,13.10000000
"TOI-4561 b","TOI-4561",1,1,"Transit",2026,8.93547936706,1.77789214,3.81000000
"HD 165131 b","HD 165131",1,1,"Radial Velocity",2023,2342.60000000000,12.10000000,5943.39121090
"HAT-P-19 b","HAT-P-19",1,1,"Transit",2010,4.00878322000,11.29865255,88.03846874
"K2-401 b","K2-401",1,1,"Transit",2022,6.29309900000,2.26200000,5.74000000
"Kepler-1487 c","Kepler-1487",1,2,"Transit",2023,35.80071120000,7.97000000,48.70000000
"Kepler-725 b","Kepler-725",1,2,"Transit",2016,39.64372000000,10.80000000,81.60000000
"Kepler-431 d","Kepler-431",1,3,"Transit",2015,11.92200000000,1.11000000,1.41000000
"Kepler-431 c","Kepler-431",1,3,"Transit",2015,8.70300000000,0.66800000,0.22900000
"HATS-57 b","HATS-57",1,1,"Transit",2019,2.35062100000,12.76705100,1000.21101000
"WASP-34 b","WASP-34",1,1,"Transit",2010,4.31768000000,11.20900000,177.98480000
"WASP-3 b","WASP-3",3,1,"Transit",2007,1.84683000000,15.91678000,772.32690000
"Kepler-449 b","Kepler-449",1,2,"Transit",2015,12.58242000000,2.05600000,4.88000000
"HD 1461 b","HD 1461",1,2,"Radial Velocity",2010,5.77152000000,2.42000000,6.44000000
"HD 1461 c","HD 1461",1,2,"Radial Velocity",2015,13.50520000000,2.23000000,5.59000000
"GJ 3341 b","GJ 3341",1,1,"Radial Velocity",2015,14.20700000000,2.46000000,6.60000000
"Kepler-430 c","Kepler-430",1,2,"Transit",2015,110.97900000000,1.75000000,3.71000000
"Kepler-444 b","Kepler-444",3,5,"Transit",2015,3.60010530000,0.40300000,0.03740000
"Kepler-444 c","Kepler-444",3,5,"Transit",2015,4.54588410000,0.49700000,0.07930000
"TOI-4010 d","TOI-4010",1,4,"Transit",2023,14.70886000000,6.18000000,38.15000000
"K2-275 c","K2-275",1,2,"Transit",2018,8.43883850000,2.21000000,5.52000000
"TOI-5734 b","TOI-5734",1,1,"Transit",2026,6.18418760000,2.10000000,9.10000000
"Kepler-1487 b","Kepler-1487",1,2,"Transit",2016,7.31946363000,2.13000000,5.18000000
"Kepler-323 b","Kepler-323",1,2,"Transit",2014,1.67832800000,1.38100000,3.90000000
"NGTS-17 b","NGTS-17",1,1,"Transit",2021,3.24253000000,13.89913607,242.82090295
"Kepler-10 c","Kepler-10",1,3,"Transit",2011,45.29430100000,2.35500000,11.29000000
"Kepler-1972 b","Kepler-1972",1,2,"Transit",2022,7.54425000000,0.80200000,2.02000000
"TOI-6478 b","TOI-6478",2,1,"Transit",2025,34.00501900000,4.60000000,19.20000000
"HD 183263 b","HD 183263",1,2,"Radial Velocity",2004,624.87404000000,13.10000000,1103.18240070
"MOA-2011-BLG-262L b","MOA-2011-BLG-262L",1,1,"Microlensing",2014,,4.29000000,17.00000000
"HD 40307 d","HD 40307",1,5,"Radial Velocity",2009,20.43200000000,,1775.38948150
"HD 87883 b","HD 87883",1,1,"Radial Velocity",2009,3006.00000000000,12.70000000,2005.49724817
"TOI-815 c","TOI-815",2,2,"Transit",2024,34.97614500000,2.62000000,23.50000000
"Kepler-25 d","Kepler-25",2,3,"Radial Velocity",2014,122.40000000000,10.00000000,71.90000000
"TOI-3331 A b","TOI-3331 A",2,1,"Transit",2022,2.01802310000,12.97999965,721.47048389
"HD 74698 c","HD 74698",1,2,"Radial Velocity",2023,3449.00000000000,14.00000000,126.00000000
"TOI-2068 b","TOI-2068",1,1,"Transit",2024,7.76891500000,1.82100000,3.97000000
"K2-412 b","K2-412",1,1,"Transit",2022,5.93820000000,2.11600000,5.13000000
"Kepler-603 b","Kepler-603",1,3,"Transit",2016,21.05358596000,2.65000000,7.51000000
"Barnard d","Barnard's star",1,4,"Radial Velocity",2025,2.34020000000,0.69400000,0.26300000
"K2-132 b","K2-132",1,1,"Transit",2017,9.17510000000,14.57170000,155.73670000
"TOI-4747 b","TOI-4747",1,1,"Transit",2026,5.21924158592,3.95803201,14.80000000
"HD 40307 f","HD 40307",1,5,"Radial Velocity",2013,51.76000000000,2.13000000,5.20000000
"Kepler-444 e","Kepler-444",3,5,"Transit",2015,7.74349300000,0.54600000,0.10000000
"Kepler-444 d","Kepler-444",3,5,"Transit",2015,6.18939200000,0.53000000,0.20000000
"Kepler-444 f","Kepler-444",3,5,"Transit",2015,9.74048600000,0.74100000,0.33200000
"HIP 107773 b","HIP 107773",1,1,"Radial Velocity",2015,144.30000000000,13.40000000,629.30340000
"TOI-763 b","TOI-763",1,2,"Transit",2020,5.60570000000,2.28000000,9.79000000
"K2-174 b","K2-174",1,1,"Transit",2018,19.56230700000,2.60000000,7.27000000
"TOI-615 b","TOI-615",1,1,"Transit",2023,4.66159830000,18.97680433,138.25535705
"NY Vir b","NY Vir",2,2,"Eclipse Timing Variations",2011,3160.00000000000,13.30000000,730.97800000
"AF Lep b","AF Lep",1,1,"Imaging",2023,8905.00000000000,13.00000000,1147.36054927
"Kepler-763 d","Kepler-763",1,3,"Transit",2023,6.50327035000,1.67000000,3.43000000
"OGLE-2005-BLG-169L b","OGLE-2005-BLG-169L",1,1,"Microlensing",2006,,3.84000000,14.10000000
"K2-133 d","K2-133",1,4,"Transit",2017,11.02454000000,2.00300000,4.67000000
"K2-165 b","K2-165",1,3,"Transit",2018,2.35499200000,1.27443657,2.17000000
"Kepler-1990 b","Kepler-1990",1,2,"Transit",2023,1.73513619000,3.27000000,10.70000000
"Kepler-164 e","Kepler-164",1,4,"Transit",2023,94.88690200000,4.24000000,16.70000000
"K2-87 b","K2-87",1,1,"Transit",2016,9.72661800000,7.60000000,44.90000000
"TOI-1338 c","TOI-1338 A",2,2,"Radial Velocity",2023,215.79000000000,10.30000000,75.40000000
